Horizon,Model,Mean Return (%),Total Return (%),Std Return (%),Median Return (%),Mean Sharpe,Mean Accuracy (%),Mean F1 Score,Positive Windows,Negative Windows,Total Windows
14day,transformer_60day,8.1062186250488,104.36292621432943,12.876682027050897,0.0,0.6314592219333992,49.87012987012987,0.1826879641305871,4,0,10
14day,lstm,13.26263215155437,98.76525209548117,37.352574126624496,7.212109430483249,0.6902252354763947,46.93333333333333,0.4779351629130947,5,5,10
14day,xgboost,13.425440298472427,96.37351153359788,38.35822035414877,4.290210307005793,0.6942901993791522,45.39999999999999,0.44900293127102336,5,5,10
14day,ensemble_traditional,13.123336894364762,92.63967436401205,38.009307225133846,4.290210307005793,0.6877855600669557,45.4,0.44306017451314145,5,5,10
14day,random_forest,12.138679160935952,73.27595075166906,38.1916503764114,4.290210307005793,0.6611320107421195,43.46666666666666,0.4131801295565965,5,5,10
14day,lightgbm,11.322081016065493,62.11497272458089,37.575047291093874,4.290210307005793,0.6290164336033455,44.93333333333333,0.42373318021055645,5,5,10
14day,lstm_60day,3.789375980985634,31.10868037442076,14.611307999025033,0.0,0.31558672054151693,46.62337662337662,0.3192403882045539,4,1,10
14day,transformer,7.023889823256105,21.46152736452729,32.83158675645507,4.290210307005793,0.4736681907297842,44.333333333333336,0.49985174223038265,5,5,10
14day,buy_and_hold,7.462365728486961,15.312707210949238,35.639337150470794,4.516010849479867,0.5503192501643682,50.0,0.5,5,5,10
1day,transformer_60day,7.595526395316243,77.46986589481317,19.31304935172066,0.8978943094479108,0.7429567300651919,48.0,0.3046797403586158,5,1,10
1day,lightgbm,9.291830867477726,40.16304291140853,35.40319853130601,9.102795044472888,0.573258272955768,53.33333333333334,0.5436654064127143,5,5,10
1day,ensemble_traditional,8.046384586882594,27.312403294208742,34.64510600636745,3.9680454264111154,0.5261263548109155,51.66666666666666,0.521743812629931,5,5,10
1day,transformer,7.78322350778873,23.336406830313837,34.89106029779091,3.9680454264111154,0.4993420436318557,52.33333333333334,0.46786028837917437,5,5,10
1day,xgboost,7.7553245094424215,23.255463657620012,34.796144839358846,2.512745039210257,0.5203747895731731,51.19999999999999,0.5250890701642307,5,5,10
1day,random_forest,7.431688731705169,20.02611758621793,34.4758395587065,3.9680454264111154,0.5050172230954004,49.46666666666666,0.4989663662701577,5,5,10
1day,buy_and_hold,7.462365728486961,15.312707210949238,35.639337150470794,4.516010849479867,0.5503192501643682,50.0,0.5,5,5,10
1day,lstm,6.71716019339868,9.949919334653345,35.10668287795214,0.014852269479836977,0.4755179916231643,51.4,0.5001900171863237,5,5,10
1day,lstm_60day,-0.2795425265244289,-24.940144110648234,24.835831388894146,0.0,0.0436139618639636,48.33333333333333,0.30599285745898486,2,3,10
28day,transformer,11.976914501669636,76.9967072754802,36.97652383730784,4.290210307005793,0.6754162131561706,41.86666666666666,0.4429866431823988,5,5,10
28day,ensemble_traditional,8.467848923287999,35.371361513523915,34.83360985717921,-1.6399560543766678,0.6363362926092149,46.33333333333333,0.47019283889273644,5,5,10
28day,lightgbm,8.251367489325288,31.529783489230102,35.03974147477832,-1.6399560543766678,0.626824364725666,46.06666666666667,0.46902076591215625,5,5,10
28day,random_forest,7.755472830963569,28.46689553969297,34.362857342149404,-4.330651573281575,0.4550551335193225,45.06666666666666,0.4221789568967287,4,5,10
28day,lstm,8.092715789735422,26.636941206654964,35.938627909479806,-3.0704656943538855,0.46631577112666045,43.60000000000001,0.44852972924901363,5,5,10
28day,xgboost,7.413439051888829,24.06234133564096,34.18847524031756,-4.330651573281575,0.4433313386821743,46.666666666666664,0.47926004880865725,4,5,10
28day,buy_and_hold,7.462365728486961,15.312707210949238,35.639337150470794,4.516010849479867,0.5503192501643682,50.0,0.5,5,5,10
28day,transformer_60day,1.2005451289612667,10.372027663891824,6.744357197369036,0.0,0.14285054634749222,49.84126984126984,0.25690171322211375,2,2,10
28day,lstm_60day,0.17488091113624704,-11.261998228205684,16.247521406081518,0.0,0.12701020484104558,39.047619047619044,0.24877304909021328,3,3,10
60day,transformer_60day,10.755963037761497,157.20452826685113,14.294418140592233,3.2650718968905035,2.0389390262020557,41.612903225806456,0.3426419254386303,6,0,10
60day,lightgbm,14.891040973038761,136.84373668065822,36.70034929023899,9.91081499996187,0.7375492052623382,41.53333333333333,0.3414693208100536,5,5,10
60day,xgboost,14.796413087070103,135.40487809991993,36.65510608236831,9.598548510192717,0.7073705145672408,44.333333333333336,0.35553939077214747,5,5,10
60day,ensemble_traditional,14.24119543250294,118.95738483686786,37.256399663661234,9.91081499996187,0.6826921836515965,42.13333333333334,0.3374531512873517,5,5,10
60day,transformer,14.140285238383212,118.8940041361148,37.06888455618137,7.273694994644531,0.7067105423245208,42.86666666666667,0.395921007980827,5,5,10
60day,lstm,11.416748376331027,73.76138124204643,36.74950774731497,-2.4670078996005484,0.5970690987522091,48.00000000000001,0.402072307406223,5,5,10
60day,random_forest,10.465332137909163,61.05371821744392,37.28481080447884,-4.330651573281575,0.43283045007215976,39.6,0.2897021374566236,3,5,10
60day,lstm_60day,4.891209672415185,53.4953847094628,11.126915752119789,0.0,0.710957707004143,30.32258064516129,0.18932272541819667,3,0,10
60day,buy_and_hold,7.462365728486961,15.312707210949238,35.639337150470794,4.516010849479867,0.5503192501643682,50.0,0.5,5,5,10
7day,transformer_60day,14.895275662015289,225.79179957692617,25.09095709040629,1.3595421781606776,0.7842418550774036,55.35714285714286,0.3299615726361284,5,3,10
7day,lstm_60day,13.44476477596131,173.43282815323312,26.829907765264156,3.8257349446376043,0.9561891545934207,52.85714285714286,0.5458014923092828,5,3,10
7day,xgboost,8.883905012434202,43.90437424306206,33.332061860352624,3.9680454264111154,0.5508052401960004,48.66666666666667,0.4376371512556049,5,5,10
7day,transformer,8.867235460092106,23.643141928808586,37.9853060728013,9.91081499996187,0.5206140188468392,49.73333333333333,0.5135882705393835,5,5,10
7day,buy_and_hold,7.462365728486961,15.312707210949238,35.639337150470794,4.516010849479867,0.5503192501643682,50.0,0.5,5,5,10
7day,lightgbm,7.183834936590198,11.653585389492104,35.82431707515516,3.9680454264111154,0.4636390413702265,48.266666666666666,0.465252440420861,5,5,10
7day,ensemble_traditional,6.620779805339455,7.305475781974624,35.319657274728144,3.9680454264111154,0.4495787084357577,46.93333333333333,0.42748661693630596,5,5,10
7day,lstm,5.1984888560938245,3.132387877405063,32.11257665690196,-0.26603488589328483,0.4261022939293503,48.66666666666667,0.49608530369375103,5,5,10
7day,random_forest,4.466648402696046,-14.096472489394497,35.5360787835375,-4.330651573281575,0.3401576581922561,46.533333333333324,0.4180611245733596,4,5,10
